problem,seed,nlevels,n,m,order_conf,tot_palsz,tot_lstsz,ncols,tot_conf_edges,tot_build_tm,tot_conf_tm,tot_assgn_tm,tot_inv_tm,mem
H4_3D_sto3g,1736,4,449,51168,LIST,90,32,168,108664,0.005592,0.00152268,0.000349065,0,1056
H4_3D_sto3g,340955,4,449,51168,LIST,90,32,169,108497,0.00551816,0.00148174,0.000342783,0,1056
H4_3D_sto3g,82674392,4,449,51168,LIST,90,32,168,109457,0.00565906,0.00147487,0.000348856,0,1056
H4_3D_sto3g,234853455,4,449,51168,LIST,90,32,168,108986,0.0062569,0.00149217,0.000342343,0,1056
H4_3D_sto3g,5,4,449,51168,LIST,90,32,167,108909,0.00555642,0.00150242,0.000344337,0,1056
H4_3D_sto3g,1736,4,449,51168,LIST,90,32,168,108664,0.00551459,0.00150735,0.000344015,0,1056
H4_3D_sto3g,340955,4,449,51168,LIST,90,32,169,108497,0.00551262,0.0015165,0.000343303,0,1056
H4_3D_sto3g,82674392,4,449,51168,LIST,90,32,168,109457,0.00557408,0.00147844,0.000346879,0,1056
H4_3D_sto3g,234853455,4,449,51168,LIST,90,32,168,108986,0.00551269,0.00149222,0.000342672,0,1056
H4_3D_sto3g,5,4,449,51168,LIST,90,32,167,108909,0.00548902,0.00148809,0.000348014,0,1056
H4_3D_sto3g,1736,4,449,51168,LIST,90,32,168,108664,0.00549743,0.00149588,0.000345609,0,1056
H4_3D_sto3g,340955,4,449,51168,LIST,90,32,169,108497,0.00588849,0.00149204,0.000343535,0,1056
H4_3D_sto3g,82674392,4,449,51168,LIST,90,32,168,109457,0.00551021,0.00148401,0.000345077,0,1056
H4_3D_sto3g,234853455,4,449,51168,LIST,90,32,168,108986,0.00558433,0.00148444,0.000345941,0,1056
H4_3D_sto3g,5,4,449,51168,LIST,89,33,168,106624,0.00528471,0.00148157,0.000357189,0,1056
H4_3D_sto3g,1736,4,449,51168,LIST,90,33,171,107559,0.00541503,0.0014508,0.000365575,0,1056
H4_3D_sto3g,340955,4,449,51168,LIST,90,33,169,106924,0.00556803,0.00146718,0.000362761,0,1056
H4_3D_sto3g,82674392,4,449,51168,LIST,89,33,167,106902,0.00525985,0.00148513,0.00036245,0,1056
H4_3D_sto3g,234853455,4,449,51168,LIST,90,33,169,107011,0.00535114,0.0014641,0.000356838,0,1056
H4_2D_sto3g,5,6,657,109224,LIST,93,58,190,207003,0.0107619,0.00246404,0.00100302,0,2112
H4_2D_sto3g,1736,6,657,109224,LIST,94,59,178,205847,0.0106225,0.00250075,0.000987662,0,2112
H4_2D_sto3g,340955,6,657,109224,LIST,92,58,180,203684,0.010508,0.00245005,0.000990267,0,2112
H4_2D_sto3g,82674392,6,657,109224,LIST,92,57,178,208686,0.0106856,0.00248506,0.0009697,0,2112
H4_2D_sto3g,234853455,6,657,109224,LIST,94,59,187,208371,0.010828,0.00248612,0.00100439,0,2228
H4_2D_sto3g,5,4,657,109224,LIST,99,42,172,152704,0.00998399,0.00249752,0.000639509,0,2112
H4_2D_sto3g,1736,4,657,109224,LIST,100,42,175,154228,0.0100403,0.00253168,0.000640832,0,2112
H4_2D_sto3g,340955,4,657,109224,LIST,100,42,168,154267,0.0100562,0.00253928,0.000644349,0,2112
H4_2D_sto3g,82674392,4,657,109224,LIST,100,42,172,154103,0.0100959,0.00249691,0.000632396,0,2112
H4_2D_sto3g,234853455,4,657,109224,LIST,101,42,177,157757,0.0103538,0.00253281,0.000668314,0,2112
H4_2D_sto3g,5,3,657,109224,LIST,109,23,184,214731,0.0128148,0.00249663,0.000430599,0,2112
H4_2D_sto3g,1736,3,657,109224,LIST,108,23,177,214572,0.0136528,0.00260034,0.000415018,0,2112
H4_2D_sto3g,340955,3,657,109224,LIST,109,23,185,215190,0.0130388,0.00252563,0.000422572,0,2112
H4_2D_sto3g,82674392,3,657,109224,LIST,107,23,185,213738,0.0127781,0.00250245,0.000418214,0,2112
H4_2D_sto3g,234853455,3,657,109224,LIST,109,23,184,214672,0.0128357,0.00251331,0.000420287,0,2112
